label,AGE (months),Severe Thinness,Thinness (from),Thinness (to),Normal (from),Normal (to),Overweight (from),Overweight (to),Obese
5: 1,61,12,12.1,12.9,13.0,16.6,16.7,18.3,18.4
5: 2,62,12,12.1,12.9,13.0,16.6,16.7,18.3,18.4
5: 3,63,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 4,64,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 5,65,12,12.1,12.9,13.0,16.7,16.8,18.3,18.4
5: 6,66,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 7,67,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 8,68,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 9,69,12,12.1,12.9,13.0,16.7,16.8,18.4,18.5
5: 10,70,12,12.1,12.9,13.0,16.7,16.8,18.5,18.6
5: 11,71,12,12.1,12.9,13.0,16.7,16.8,18.5,18.6
6: 0,72,12,12.1,12.9,13.0,16.8,16.9,18.5,18.6
6: 1,73,12,12.1,12.9,13.0,16.8,16.9,18.6,18.7
6: 2,74,12.1,12.2,13.0,13.1,16.8,16.9,18.6,18.7
6: 3,75,12.1,12.2,13.0,13.1,16.8,16.9,18.6,18.7
6: 4,76,12.1,12.2,13.0,13.1,16.8,16.9,18.7,18.8
6: 5,77,12.1,12.2,13.0,13.1,16.9,17,18.7,18.8
6: 6,78,12.1,12.2,13.0,13.1,16.9,17,18.7,18.8
6: 7,79,12.1,12.2,13.0,13.1,16.9,17,18.8,18.9
6: 8,80,12.1,12.2,13.0,13.1,16.9,17,18.8,18.9
6: 9,81,12.1,12.2,13.0,13.1,17,17.1,18.9,19
6: 10,82,12.1,12.2,13.0,13.1,17,17.1,18.9,19
6: 11,83,12.1,12.2,13.0,13.1,17,17.1,19,19.1
7: 0,84,12.2,12.3,13.0,13.1,17,17.1,19,19.1
7: 1,85,12.2,12.3,13.1,13.2,17.1,17.2,19.1,19.2
7: 2,86,12.2,12.3,13.1,13.2,17.1,17.2,19.1,19.2
7: 3,87,12.2,12.3,13.1,13.2,17.1,17.2,19.2,19.3
7: 4,88,12.2,12.3,13.1,13.2,17.2,17.3,19.2,19.3
7: 5,89,12.2,12.3,13.1,13.2,17.2,17.3,19.3,19.4
7: 6,90,12.2,12.3,13.1,13.2,17.2,17.3,19.3,19.4
7: 7,91,12.2,12.3,13.1,13.2,17.3,17.4,19.4,19.5
7: 8,92,12.2,12.3,13.1,13.2,17.3,17.4,19.4,19.5
7: 9,93,12.3,12.4,13.2,13.3,17.3,17.4,19.5,19.6
7: 10,94,12.3,12.4,13.2,13.3,17.4,17.5,19.6,19.7
7: 11,95,12.3,12.4,13.2,13.3,17.4,17.5,19.6,19.7
8: 0,96,12.3,12.4,13.2,13.3,17.4,17.5,19.7,19.8
8: 1,97,12.3,12.4,13.2,13.3,17.5,17.6,19.7,19.8
8: 2,98,12.3,12.4,13.2,13.3,17.5,17.6,19.8,19.9
8: 3,99,12.3,12.4,13.2,13.3,17.5,17.6,19.9,20
8: 4,100,12.3,12.4,13.3,13.4,17.6,17.7,19.9,20
8: 5,101,12.4,12.5,13.3,13.4,17.6,17.7,20,20.1
8: 6,102,12.4,12.5,13.3,13.4,17.7,17.8,20.1,20.2
8: 7,103,12.4,12.5,13.3,13.4,17.7,17.8,20.1,20.2
8: 8,104,12.4,12.5,13.3,13.4,17.7,17.8,20.2,20.3
8: 9,105,12.4,12.5,13.3,13.4,17.8,17.9,20.3,20.4
8: 10,106,12.4,12.5,13.4,13.5,17.8,17.9,20.3,20.4
8: 11,107,12.4,12.5,13.4,13.5,17.9,18,20.4,20.5
9: 0,108,12.5,12.6,13.4,13.5,17.9,18,20.5,20.6
9: 1,109,12.5,12.6,13.4,13.5,18,18.1,20.5,20.6
9: 2,110,12.5,12.6,13.4,13.5,18,18.1,20.6,20.7
9: 3,111,12.5,12.6,13.4,13.5,18,18.1,20.7,20.8
9: 4,112,12.5,12.6,13.5,13.6,18.1,18.2,20.8,20.9
9: 5,113,12.5,12.6,13.5,13.6,18.1,18.2,20.8,20.9
9: 6,114,12.6,12.7,13.5,13.6,18.2,18.3,20.9,21
9: 7,115,12.6,12.7,13.5,13.6,18.2,18.3,21,21.1
9: 8,116,12.6,12.7,13.5,13.6,18.3,18.4,21.1,21.2
9: 9,117,12.6,12.7,13.6,13.7,18.3,18.4,21.2,21.3
9: 10,118,12.6,12.7,13.6,13.7,18.4,18.5,21.2,21.3
9: 11,119,12.7,12.8,13.6,13.7,18.4,18.5,21.3,21.4
10: 0,120,12.7,12.8,13.6,13.7,18.5,18.6,21.4,21.5
10: 1,121,12.7,12.8,13.7,13.8,18.5,18.6,21.5,21.6
10: 2,122,12.7,12.8,13.7,13.8,18.6,18.7,21.6,21.7
10: 3,123,12.7,12.8,13.7,13.8,18.6,18.7,21.7,21.8
10: 4,124,12.8,12.9,13.7,13.8,18.7,18.8,21.7,21.8
10: 5,125,12.8,12.9,13.8,13.9,18.8,18.9,21.8,21.9
10: 6,126,12.8,12.9,13.8,13.9,18.8,18.9,21.9,22
10: 7,127,12.8,12.9,13.8,13.9,18.9,19,22,22.1
10: 8,128,12.9,13.0,13.8,13.9,18.9,19,22.1,22.2
10: 9,129,12.9,13.0,13.9,14.0,19.0,19.1,22.2,22.3
10: 10,130,12.9,13.0,13.9,14.0,19.0,19.1,22.3,22.4
10: 11,131,12.9,13.0,13.9,14.0,19.1,19.2,22.4,22.5
11: 0,132,13,13.1,14.0,14.1,19.2,19.3,22.5,22.6
11: 1,133,13,13.1,14.0,14.1,19.2,19.3,22.5,22.6
11: 2,134,13,13.1,14.0,14.1,19.3,19.4,22.6,22.7
11: 3,135,13,13.1,14.0,14.1,19.3,19.4,22.7,22.8
11: 4,136,13.1,13.2,14.1,14.2,19.4,19.5,22.8,22.9
11: 5,137,13.1,13.2,14.1,14.2,19.5,19.6,22.9,23
11: 6,138,13.1,13.2,14.1,14.2,19.5,19.6,23,23.1
11: 7,139,13.1,13.2,14.2,14.3,19.6,19.7,23.1,23.2
11: 8,140,13.2,13.3,14.2,14.3,19.7,19.8,23.2,23.3
11: 9,141,13.2,13.3,14.2,14.3,19.7,19.8,23.3,23.4
11: 10,142,13.2,13.3,14.3,14.4,19.8,19.9,23.4,23.5
11: 11,143,13.3,13.4,14.3,14.4,19.9,20,23.5,23.6
12: 0,144,13.3,13.4,14.4,14.5,19.9,20,23.6,23.7
12: 1,145,13.3,13.4,14.4,14.5,20.0,20.1,23.7,23.8
12: 2,146,13.4,13.5,14.4,14.5,20.1,20.2,23.8,23.9
12: 3,147,13.4,13.5,14.5,14.6,20.2,20.3,23.9,24
12: 4,148,13.4,13.5,14.5,14.6,20.2,20.3,24,24.1
12: 5,149,13.5,13.6,14.5,14.6,20.3,20.4,24.1,24.2
12: 6,150,13.5,13.6,14.6,14.7,20.4,20.5,24.2,24.3
12: 7,151,13.5,13.6,14.6,14.7,20.4,20.5,24.3,24.4
12: 8,152,13.6,13.7,14.7,14.8,20.5,20.6,24.4,24.5
12: 9,153,13.6,13.7,14.7,14.8,20.6,20.7,24.5,24.6
12: 10,154,13.6,13.7,14.7,14.8,20.7,20.8,24.6,24.7
12: 11,155,13.7,13.8,14.8,14.9,20.8,20.9,24.7,24.8
13: 0,156,13.7,13.8,14.8,14.9,20.8,20.9,24.8,24.9
13: 1,157,13.7,13.8,14.9,15.0,20.9,21,24.9,25
13: 2,158,13.8,13.9,14.9,15.0,21.0,21.1,25,25.1
13: 3,159,13.8,13.9,15.0,15.1,21.1,21.2,25.1,25.2
13: 4,160,13.9,14.0,15.0,15.1,21.1,21.2,25.2,25.3
13: 5,161,13.9,14.0,15.1,15.2,21.2,21.3,25.2,25.3
13: 6,162,13.9,14.0,15.1,15.2,21.3,21.4,25.3,25.4
13: 7,163,14,14.1,15.1,15.2,21.4,21.5,25.4,25.5
13: 8,164,14,14.1,15.2,15.3,21.5,21.6,25.5,25.6
13: 9,165,14,14.1,15.2,15.3,21.5,21.6,25.6,25.7
13: 10,166,14.1,14.2,15.3,15.4,21.6,21.7,25.7,25.8
13: 11,167,14.1,14.2,15.3,15.4,21.7,21.8,25.8,25.9
14: 0,168,14.2,14.3,15.4,15.5,21.8,21.9,25.9,26
14: 1,169,14.2,14.3,15.4,15.5,21.8,21.9,26,26.1
14: 2,170,14.2,14.3,15.5,15.6,21.9,22,26.1,26.2
14: 3,171,14.3,14.4,15.5,15.6,22.0,22.1,26.2,26.3
14: 4,172,14.3,14.4,15.6,15.7,22.1,22.2,26.3,26.4
14: 5,173,14.4,14.5,15.6,15.7,22.2,22.3,26.4,26.5
14: 6,174,14.4,14.5,15.6,15.7,22.2,22.3,26.5,26.6
14: 7,175,14.4,14.5,15.7,15.8,22.3,22.4,26.5,26.6
14: 8,176,14.5,14.6,15.7,15.8,22.4,22.5,26.6,26.7
14: 9,177,14.5,14.6,15.8,15.9,22.5,22.6,26.7,26.8
14: 10,178,14.5,14.6,15.8,15.9,22.5,22.6,26.8,26.9
14: 11,179,14.6,14.7,15.9,16.0,22.6,22.7,26.9,27
15: 0,180,14.6,14.7,15.9,16.0,22.7,22.8,27,27.1
15: 1,181,14.6,14.7,16.0,16.1,22.8,22.9,27.1,27.2
15: 2,182,14.7,14.8,16.0,16.1,22.8,22.9,27.1,27.2
15: 3,183,14.7,14.8,16.0,16.1,22.9,23,27.2,27.3
15: 4,184,14.7,14.8,16.1,16.2,23.0,23.1,27.3,27.4
15: 5,185,14.8,14.9,16.1,16.2,23.0,23.1,27.4,27.5
15: 6,186,14.8,14.9,16.2,16.3,23.1,23.2,27.4,27.5
15: 7,187,14.9,15.0,16.2,16.3,23.2,23.3,27.5,27.6
15: 8,188,14.9,15.0,16.2,16.3,23.3,23.4,27.6,27.7
15: 9,189,14.9,15.0,16.3,16.4,23.3,23.4,27.7,27.8
15: 10,190,14.9,15.0,16.3,16.4,23.4,23.5,27.7,27.8
15: 11,191,15,15.1,16.4,16.5,23.5,23.6,27.8,27.9
16: 0,192,15,15.1,16.4,16.5,23.5,23.6,27.9,28
16: 1,193,15,15.1,16.4,16.5,23.6,23.7,27.9,28
16: 2,194,15.1,15.2,16.5,16.6,23.7,23.8,28,28.1
16: 3,195,15.1,15.2,16.5,16.6,23.7,23.8,28.1,28.2
16: 4,196,15.1,15.2,16.6,16.7,23.8,23.9,28.1,28.2
16: 5,197,15.2,15.3,16.6,16.7,23.8,23.9,28.2,28.3
16: 6,198,15.2,15.3,16.6,16.7,23.9,24,28.3,28.4
16: 7,199,15.2,15.3,16.7,16.8,24.0,24.1,28.3,28.4
16: 8,200,15.2,15.3,16.7,16.8,24.0,24.1,28.4,28.5
16: 9,201,15.3,15.4,16.7,16.8,24.1,24.2,28.5,28.6
16: 10,202,15.3,15.4,16.8,16.9,24.2,24.3,28.5,28.6
16: 11,203,15.3,15.4,16.8,16.9,24.2,24.3,28.6,28.7
17: 0,204,15.3,15.4,16.8,16.9,24.3,24.4,28.6,28.7
17: 1,205,15.4,15.5,16.9,17.0,24.3,24.4,28.7,28.8
17: 2,206,15.4,15.5,16.9,17.0,24.4,24.5,28.7,28.8
17: 3,207,15.4,15.5,16.9,17.0,24.4,24.5,28.8,28.9
17: 4,208,15.4,15.5,17.0,17.1,24.5,24.6,28.9,29
17: 5,209,15.5,15.6,17.0,17.1,24.5,24.6,28.9,29
17: 6,210,15.5,15.6,17.0,17.1,24.6,24.7,29,29.1
17: 7,211,15.5,15.6,17.0,17.1,24.7,24.8,29,29.1
17: 8,212,15.5,15.6,17.1,17.2,24.7,24.8,29.1,29.2
17: 9,213,15.5,15.6,17.1,17.2,24.8,24.9,29.1,29.2
17: 10,214,15.6,15.7,17.1,17.2,24.8,24.9,29.2,29.3
17: 11,215,15.6,15.7,17.2,17.3,24.9,25,29.2,29.3
18: 0,216,15.6,15.7,17.2,17.3,24.9,25,29.3,29.4
18: 1,217,15.6,15.7,17.2,17.3,25.0,25.1,29.3,29.4
18: 2,218,15.6,15.7,17.2,17.3,25.0,25.1,29.4,29.5
18: 3,219,15.6,15.7,17.3,17.4,25.1,25.2,29.4,29.5
18: 4,220,15.7,15.8,17.3,17.4,25.1,25.2,29.5,29.6
18: 5,221,15.7,15.8,17.3,17.4,25.1,25.2,29.5,29.6
18: 6,222,15.7,15.8,17.3,17.4,25.2,25.3,29.5,29.6
18: 7,223,15.7,15.8,17.4,17.5,25.2,25.3,29.5,29.6
18: 8,224,15.7,15.8,17.4,17.5,25.3,25.4,29.6,29.7
18: 9,225,15.7,15.8,17.4,17.5,25.3,25.4,29.6,29.7
18: 10,226,15.7,15.8,17.4,17.5,25.4,25.5,29.6,29.7
18: 11,227,15.7,15.8,17.4,17.5,25.4,25.5,29.7,29.8
19: 0,228,15.8,15.9,17.5,17.6,25.4,25.5,29.7,29.8