label,AGE (months),Severely Stunted,Stunted (from),Stunted (to),Normal (from),Normal (to),Tall
0: 0,0,43.6,43.7,45.3,45.4,52.9,53.0
0: 1,1,47.8,47.9,49.7,49.8,57.6,57.7
0: 2,2,51.0,51.1,52.9,53.0,61.1,61.2
0: 3,3,53.5,53.6,55.5,55.6,64.0,64.1
0: 4,4,55.6,55.7,57.7,57.8,66.4,66.5
0: 5,5,57.4,57.5,59.5,59.6,68.5,68.6
0: 6,6,58.9,59.0,61.1,61.2,70.3,70.4
0: 7,7,60.3,60.4,62.6,62.7,71.9,72.0
0: 8,8,61.7,61.8,63.9,64.0,73.5,73.6
0: 9,9,62.9,63.0,65.2,65.3,75.0,75.1
0: 10,10,64.1,64.2,65.9,66.0,76.4,76.5
0: 11,11,65.2,65.3,67.6,67.7,77.8,77.9
1: 0,12,66.3,66.4,68.8,68.9,79.2,79.3
1: 1,13,67.3,67.4,69.9,70.0,80.5,80.6
1: 2,14,68.3,68.4,70.9,71.0,81.7,81.8
1: 3,15,69.3,69.4,71.9,72.0,83.0,83.1
1: 4,16,70.2,70.3,72.9,73.0,84.2,84.3
1: 5,17,71.1,71.2,73.9,74.0,85.4,85.5
1: 6,18,72.0,72.1,74.8,74.9,86.5,86.6
1: 7,19,72.8,72.9,75.7,75.8,87.6,87.7
1: 8,20,73.7,73.8,76.6,76.7,88.7,88.8
1: 9,21,74.5,74.6,77.4,77.5,89.8,89.9
1: 10,22,75.2,75.3,78.3,78.4,90.8,90.9
1: 11,23,76.0,76.1,79.1,79.2,91.9,92.0
2: 0,24,76.7,76.8,79.2,79.3,92.2,92.3
2: 1,25,76.8,76.9,79.9,80.0,93.1,93.2
2: 2,26,77.5,77.6,80.7,80.8,94.1,94.2
2: 3,27,78.1,78.2,81.4,81.5,95.0,95.1
2: 4,28,78.8,78.9,82.1,82.2,96.0,96.1
2: 5,29,79.5,79.6,82.8,82.9,96.9,97.0
2: 6,30,80.1,80.2,83.5,83.6,97.7,97.8
2: 7,31,80.7,80.8,84.2,84.3,98.6,98.7
2: 8,32,81.3,81.4,84.8,84.9,99.4,99.5
2: 9,33,81.9,82.0,85.5,85.6,100.3,100.4
2: 10,34,82.5,82.6,86.1,86.2,101.1,101.2
2: 11,35,83.1,83.2,86.7,86.8,101.9,102.0
3: 0,36,83.6,83.7,87.3,87.4,102.7,102.8
3: 1,37,84.2,84.3,87.9,88.0,103.4,103.5
3: 2,38,84.7,84.8,88.5,88.6,104.2,104.3
3: 3,39,85.3,85.4,89.1,89.2,105.0,105.1
3: 4,40,85.8,85.9,89.7,89.8,105.7,105.8
3: 5,41,86.3,86.4,90.3,90.4,106.4,106.5
3: 6,42,86.8,86.9,90.8,90.9,107.2,107.3
3: 7,43,87.4,87.5,91.4,91.5,107.9,108.0
3: 8,44,87.9,88.0,91.9,92.0,108.6,108.7
3: 9,45,88.4,88.5,92.4,92.5,109.3,109.4
3: 10,46,88.9,89.0,93.0,93.1,110.0,110.1
3: 11,47,89.3,89.4,93.5,93.6,110.7,110.8
4: 0,48,89.8,89.9,94.0,94.1,111.3,111.4
4: 1,49,90.3,90.4,94.5,94.6,112.0,112.1
4: 2,50,90.7,90.8,95.0,95.1,112.7,112.8
4: 3,51,91.2,91.3,95.5,95.6,113.3,113.4
4: 4,52,91.7,91.8,96.0,96.1,114.0,114.1
4: 5,53,92.1,92.2,96.5,96.6,114.6,114.7
4: 6,54,92.6,92.7,97.0,97.1,115.2,115.3
4: 7,55,93.0,93.1,97.5,97.6,115.9,116.0
4: 8,56,93.4,93.5,98.0,98.1,116.5,116.6
4: 9,57,93.9,94.0,98.4,98.5,117.1,117.2
4: 10,58,94.3,94.4,98.9,99.0,117.7,117.8
4: 11,59,94.7,94.8,99.4,99.5,118.3,118.4
5: 0,60,95.2,95.3,99.8,99.9,118.9,119.0
5: 1,61,95.3,95.4,100.0,100.1,119.1,119.2
5: 2,62,95.7,95.8,100.4,100.5,119.7,119.8
5: 3,63,96.1,96.2,100.9,101.0,120.3,120.4
5: 4,64,96.5,96.6,101.3,101.4,120.9,121.0
5: 5,65,97.0,97.1,101.8,101.9,121.5,121.6
5: 6,66,97.4,97.5,102.2,102.3,122.0,122.1
5: 7,67,97.8,97.9,102.6,102.7,122.6,122.7
5: 8,68,98.2,98.3,103.1,103.2,123.2,123.3
5: 9,69,98.6,98.7,103.5,103.6,123.7,123.8
5: 10,70,99.0,99.1,103.9,104.0,124.3,124.4
5: 11,71,99.4,99.5,104.4,104.5,124.8,124.9