AGE (months),Severely Underweight,Underweight (from),Underweight (to),Normal (from),Normal (to),Overweight
0,2.1,2.2,2.4,2.5,4.4,4.5
1,2.9,3.0,3.3,3.4,5.8,5.9
2,3.8,3.9,4.2,4.3,7.1,7.2
3,4.4,4.5,4.9,5.0,8.0,8.1
4,4.9,5.0,5.5,5.6,8.7,8.8
5,5.3,5.4,5.9,6.0,9.3,9.4
6,5.7,5.8,6.3,6.4,9.8,9.9
7,5.9,6.0,6.6,6.7,10.3,10.4
8,6.2,6.3,6.8,6.9,10.7,10.8
9,6.4,6.5,7.0,7.1,11.0,11.1
10,6.6,6.7,7.3,7.4,11.4,11.5
11,6.8,6.9,7.5,7.6,11.7,11.8
12,6.9,7.0,7.6,7.7,12.0,12.1
13,7.1,7.2,7.8,7.9,12.3,12.4
14,7.2,7.3,8.0,8.1,12.6,12.7
15,7.4,7.5,8.2,8.3,12.8,12.9
16,7.5,7.6,8.3,8.4,13.1,13.2
17,7.7,7.8,8.5,8.6,13.4,13.5
18,7.8,7.9,8.7,8.8,13.7,13.8
19,8.0,8.1,8.8,8.9,13.9,14.0
20,8.1,8.2,9.0,9.1,14.2,14.3
21,8.2,8.3,9.1,9.2,14.5,14.6
22,8.4,8.5,9.3,9.4,14.7,14.8
23,8.5,8.6,9.4,9.5,15.0,15.1
24,8.6,8.7,9.6,9.7,15.3,15.4
25,8.8,8.9,9.7,9.8,15.5,15.6
26,8.9,9.0,9.9,10.0,15.8,15.9
27,9.0,9.1,10.0,10.1,16.1,16.2
28,9.1,9.2,10.1,10.2,16.3,16.4
29,9.2,9.3,10.3,10.4,16.6,16.7
30,9.4,9.5,10.4,10.5,16.9,17.0
31,9.5,9.6,10.6,10.7,17.1,17.2
32,9.6,9.7,10.7,10.8,17.4,17.5
33,9.7,9.8,10.8,10.9,17.6,17.7
34,9.8,9.9,10.9,11.0,17.8,17.9
35,9.9,10.0,11.1,11.2,18.1,18.2
36,10.0,10.1,11.2,11.3,18.3,18.4
37,10.1,10.2,11.3,11.4,18.6,18.7
38,10.2,10.3,11.4,11.5,18.8,18.9
39,10.3,10.4,11.5,11.6,19.0,19.1
40,10.4,10.5,11.7,11.8,19.3,19.4
41,10.5,10.6,11.8,11.9,19.5,19.6
42,10.6,10.7,11.9,12.0,19.7,19.8
43,10.7,10.8,12.0,12.1,20.0,20.1
44,10.8,10.9,12.1,12.2,20.2,20.3
45,10.9,11.0,12.3,12.4,20.5,20.6
46,11.0,11.1,12.4,12.5,20.7,20.8
47,11.1,11.2,12.5,12.6,20.9,21.0
48,11.2,11.3,12.6,12.7,21.2,21.3
49,11.3,11.4,12.7,12.8,21.4,21.5
50,11.4,11.5,12.8,12.9,21.7,21.8
51,11.5,11.6,13.0,13.1,21.9,22.0
52,11.6,11.7,13.1,13.2,22.2,22.3
53,11.7,11.8,13.2,13.3,22.4,22.5
54,11.8,11.9,13.3,13.4,22.7,22.8
55,11.9,12.0,13.4,13.5,22.9,23.0
56,12.0,12.1,13.5,13.6,23.2,23.3
57,12.1,12.2,13.6,13.7,23.4,23.5
58,12.2,12.3,13.7,13.8,23.7,23.8
59,12.3,12.4,13.9,14.0,23.9,24.0
60,12.4,12.5,14.0,14.1,24.2,24.3
61,12.7,12.8,14.3,14.4,24.3,24.4
62,12.8,12.9,14.4,14.5,24.4,24.5
63,13.0,13.1,14.5,14.6,24.7,24.8
64,13.1,13.2,14.7,14.8,24.9,25.0
65,13.2,13.3,14.8,14.9,25.2,25.3
66,13.3,13.4,14.9,15.0,25.5,25.6
67,13.4,13.5,15.1,15.2,25.7,25.8
68,13.6,13.7,15.2,15.3,26.0,26.1
69,13.7,13.8,15.3,15.4,26.3,26.4
70,13.8,13.9,15.5,15.6,26.6,26.7
71,13.9,14.0,15.6,15.7,26.8,26.9